"","País","Apego emocional al propio país","Apego emocional a Europa","Género","Rango de edad"
"1","Áustria",10,5,"Hombre","entre 60 y 74"
"2","Áustria",8,8,"Mujer","menor de 30"
"3","Áustria",9,7,"Mujer","entre 45 y 59"
"4","Áustria",10,8,"Mujer","75 o mayor"
"5","Áustria",10,10,"Hombre","entre 60 y 74"
"6","Áustria",8,6,"Mujer","entre 45 y 59"
"7","Áustria",9,6,"Mujer",NA
"8","Áustria",10,9,"Mujer","entre 60 y 74"
"9","Áustria",8,6,"Mujer","entre 45 y 59"
"10","Áustria",10,7,"Mujer","75 o mayor"
"11","Áustria",10,10,"Mujer","entre 30 y 44"
"12","Áustria",7,6,"Hombre","entre 45 y 59"
"13","Áustria",8,5,"Mujer","entre 60 y 74"
"14","Áustria",10,7,"Mujer","75 o mayor"
"15","Áustria",6,8,"Mujer","entre 30 y 44"
"16","Áustria",8,7,"Mujer","entre 60 y 74"
"17","Áustria",10,8,"Hombre","entre 30 y 44"
"18","Áustria",6,6,"Mujer","75 o mayor"
"19","Áustria",1,5,"Hombre","menor de 30"
"20","Áustria",8,6,"Hombre","entre 30 y 44"
"21","Áustria",10,10,"Mujer","75 o mayor"
"22","Áustria",9,6,"Hombre","entre 60 y 74"
"23","Áustria",8,6,"Hombre","entre 30 y 44"
"24","Áustria",9,1,"Hombre","entre 45 y 59"
"25","Áustria",8,8,"Mujer","entre 45 y 59"
"26","Áustria",10,8,"Mujer","entre 60 y 74"
"27","Áustria",8,6,"Mujer","entre 30 y 44"
"28","Áustria",10,5,"Mujer","entre 30 y 44"
"29","Áustria",9,7,"Mujer","entre 30 y 44"
"30","Áustria",8,5,"Mujer","entre 45 y 59"
"31","Áustria",9,0,"Mujer","entre 30 y 44"
"32","Áustria",10,10,"Hombre","entre 45 y 59"
"33","Áustria",10,2,"Mujer","75 o mayor"
"34","Áustria",6,6,"Mujer","entre 45 y 59"
"35","Áustria",9,9,"Mujer","entre 60 y 74"
"36","Áustria",10,10,"Mujer","entre 30 y 44"
"37","Áustria",8,10,"Mujer","entre 30 y 44"
"38","Áustria",10,6,"Mujer","entre 45 y 59"
"39","Áustria",10,7,"Hombre",NA
"40","Áustria",10,8,"Hombre","entre 45 y 59"
"41","Áustria",7,5,"Mujer","entre 30 y 44"
"42","Áustria",9,8,"Mujer","75 o mayor"
"43","Áustria",8,6,"Mujer","menor de 30"
"44","Áustria",9,8,"Mujer","entre 30 y 44"
"45","Áustria",7,8,"Hombre","entre 60 y 74"
"46","Áustria",9,6,"Hombre","entre 60 y 74"
"47","Áustria",9,9,"Mujer","entre 30 y 44"
"48","Áustria",8,5,"Hombre","menor de 30"
"49","Áustria",10,10,"Hombre","entre 60 y 74"
"50","Áustria",5,5,"Mujer","entre 30 y 44"
"51","Áustria",9,9,"Hombre","entre 60 y 74"
"52","Áustria",10,7,"Hombre","entre 60 y 74"
"53","Áustria",10,5,"Mujer","menor de 30"
"54","Áustria",10,5,"Hombre","menor de 30"
"55","Áustria",8,5,"Mujer","entre 60 y 74"
"56","Áustria",6,8,"Mujer","menor de 30"
"57","Áustria",9,8,"Mujer","75 o mayor"
"58","Áustria",8,7,"Mujer","75 o mayor"
"59","Áustria",8,7,"Hombre","entre 45 y 59"
"60","Áustria",10,8,"Mujer","75 o mayor"
"61","Áustria",9,10,"Mujer","entre 45 y 59"
"62","Áustria",7,4,"Hombre","75 o mayor"
"63","Áustria",10,10,"Hombre","entre 60 y 74"
"64","Áustria",10,2,"Mujer","entre 30 y 44"
"65","Áustria",9,1,"Mujer","75 o mayor"
"66","Áustria",10,8,"Mujer","entre 30 y 44"
"67","Áustria",8,6,"Hombre","entre 45 y 59"
"68","Áustria",9,9,"Hombre","entre 60 y 74"
"69","Áustria",7,9,"Mujer","entre 45 y 59"
"70","Áustria",8,7,"Hombre","75 o mayor"
"71","Áustria",10,5,"Hombre","entre 60 y 74"
"72","Áustria",10,5,"Mujer","entre 60 y 74"
"73","Áustria",9,6,"Mujer","entre 60 y 74"
"74","Áustria",8,3,"Mujer","entre 30 y 44"
"75","Áustria",9,8,"Hombre","75 o mayor"
"76","Áustria",8,6,"Mujer","entre 60 y 74"
"77","Áustria",5,5,"Hombre","menor de 30"
"78","Áustria",9,6,"Hombre","entre 45 y 59"
"79","Áustria",7,5,"Mujer","menor de 30"
"80","Áustria",9,8,"Hombre","entre 30 y 44"
"81","Áustria",9,6,"Mujer","entre 45 y 59"
"82","Áustria",8,8,"Hombre","entre 45 y 59"
"83","Áustria",8,6,"Hombre","entre 30 y 44"
"84","Áustria",5,5,"Hombre","entre 60 y 74"
"85","Áustria",10,5,"Hombre","menor de 30"
"86","Áustria",9,8,"Hombre","entre 30 y 44"
"87","Áustria",7,7,"Hombre","menor de 30"
"88","Áustria",10,5,"Hombre","menor de 30"
"89","Áustria",10,6,"Hombre","entre 60 y 74"
"90","Áustria",9,9,"Hombre","entre 60 y 74"
"91","Áustria",9,7,"Hombre","entre 45 y 59"
"92","Áustria",5,5,"Mujer","75 o mayor"
"93","Áustria",9,7,"Hombre","entre 30 y 44"
"94","Áustria",9,2,"Mujer","75 o mayor"
"95","Áustria",9,6,"Mujer","entre 60 y 74"
"96","Áustria",6,8,"Hombre","entre 30 y 44"
"97","Áustria",7,4,"Mujer","entre 45 y 59"
"98","Áustria",10,6,"Hombre","75 o mayor"
"99","Áustria",8,5,"Mujer","entre 60 y 74"
"100","Áustria",5,4,"Hombre","menor de 30"
"101","Áustria",10,7,"Hombre","menor de 30"
"102","Áustria",10,0,"Hombre","entre 60 y 74"
"103","Áustria",9,6,"Hombre","entre 45 y 59"
"104","Áustria",9,9,"Mujer","entre 45 y 59"
"105","Áustria",10,10,"Hombre","entre 60 y 74"
"106","Áustria",10,6,"Mujer","entre 60 y 74"
"107","Áustria",7,8,"Hombre","entre 45 y 59"
"108","Áustria",10,8,"Hombre","75 o mayor"
"109","Áustria",10,7,"Mujer","entre 60 y 74"
"110","Áustria",9,8,"Mujer","75 o mayor"
"111","Áustria",7,7,"Mujer","menor de 30"
"112","Áustria",5,5,"Hombre","entre 45 y 59"
"113","Áustria",9,8,"Hombre","entre 60 y 74"
"114","Áustria",10,10,"Mujer","entre 60 y 74"
"115","Áustria",6,10,"Mujer","entre 45 y 59"
"116","Áustria",10,9,"Hombre","entre 60 y 74"
"117","Áustria",9,9,"Mujer","entre 60 y 74"
"118","Áustria",9,6,"Hombre","entre 60 y 74"
"119","Áustria",7,4,"Mujer","entre 45 y 59"
"120","Áustria",10,7,"Hombre","entre 60 y 74"
"121","Áustria",9,6,"Mujer","entre 60 y 74"
"122","Áustria",8,6,"Hombre","entre 30 y 44"
"123","Áustria",9,6,"Mujer","entre 30 y 44"
"124","Áustria",10,5,"Hombre","entre 45 y 59"
"125","Áustria",10,6,"Mujer","entre 30 y 44"
"126","Áustria",10,7,"Mujer",NA
"127","Áustria",5,2,"Mujer","entre 45 y 59"
"128","Áustria",3,6,"Mujer","entre 30 y 44"
"129","Áustria",10,1,"Hombre","entre 45 y 59"
"130","Áustria",8,6,"Hombre","entre 45 y 59"
"131","Áustria",9,8,"Hombre","entre 45 y 59"
"132","Áustria",8,7,"Hombre","entre 45 y 59"
"133","Áustria",7,6,"Mujer","entre 30 y 44"
"134","Áustria",9,6,"Hombre","entre 45 y 59"
"135","Áustria",7,4,"Hombre","entre 45 y 59"
"136","Áustria",10,8,"Mujer","entre 30 y 44"
"137","Áustria",6,5,"Hombre","menor de 30"
"138","Áustria",10,0,"Hombre","entre 60 y 74"
"139","Áustria",9,3,"Hombre","entre 45 y 59"
"140","Áustria",10,8,"Mujer","entre 60 y 74"
"141","Áustria",7,5,"Mujer","75 o mayor"
"142","Áustria",10,9,"Hombre","entre 45 y 59"
"143","Áustria",10,7,"Hombre","entre 60 y 74"
"144","Áustria",10,10,"Mujer","entre 45 y 59"
"145","Áustria",10,10,"Mujer","entre 45 y 59"
"146","Áustria",10,8,"Mujer","entre 45 y 59"
"147","Áustria",8,5,"Hombre","75 o mayor"
"148","Áustria",9,5,"Hombre","entre 30 y 44"
"149","Áustria",10,9,"Mujer","entre 60 y 74"
"150","Áustria",10,6,"Mujer","75 o mayor"
"151","Áustria",10,0,"Mujer","entre 60 y 74"
"152","Áustria",7,6,"Mujer","entre 45 y 59"
"153","Áustria",8,6,"Mujer","menor de 30"
"154","Áustria",10,5,"Mujer","entre 30 y 44"
"155","Áustria",10,8,"Hombre","menor de 30"
"156","Áustria",10,3,"Mujer","entre 45 y 59"
"157","Áustria",10,5,"Mujer","75 o mayor"
"158","Áustria",10,6,"Mujer","entre 45 y 59"
"159","Áustria",10,8,"Hombre","entre 45 y 59"
"160","Áustria",9,9,"Hombre","entre 60 y 74"
"161","Áustria",10,9,"Mujer","entre 60 y 74"
"162","Áustria",3,7,"Hombre","entre 45 y 59"
"163","Áustria",10,5,"Hombre","entre 45 y 59"
"164","Áustria",8,5,"Mujer","entre 45 y 59"
"165","Áustria",9,4,"Mujer","entre 60 y 74"
"166","Áustria",9,6,"Mujer","menor de 30"
"167","Áustria",9,7,"Mujer","menor de 30"
"168","Áustria",9,7,"Mujer","entre 60 y 74"
"169","Áustria",10,6,"Hombre","entre 60 y 74"
"170","Áustria",1,2,"Hombre","menor de 30"
"171","Áustria",8,6,"Hombre","entre 30 y 44"
"172","Áustria",8,5,"Mujer","entre 60 y 74"
"173","Áustria",10,10,"Mujer","entre 60 y 74"
"174","Áustria",9,5,"Mujer","entre 60 y 74"
"175","Áustria",8,7,"Hombre","entre 45 y 59"
"176","Áustria",5,2,"Hombre","entre 60 y 74"
"177","Áustria",8,4,"Hombre","entre 60 y 74"
"178","Áustria",NA,NA,"Mujer","menor de 30"
"179","Áustria",7,8,"Hombre","entre 45 y 59"
"180","Áustria",10,9,"Mujer","entre 30 y 44"
"181","Áustria",9,9,"Hombre","entre 60 y 74"
"182","Áustria",9,8,"Hombre","75 o mayor"
"183","Áustria",10,10,"Mujer","75 o mayor"
"184","Áustria",10,8,"Mujer","entre 30 y 44"
"185","Áustria",9,8,"Mujer","75 o mayor"
"186","Áustria",10,7,"Hombre","entre 45 y 59"
"187","Áustria",7,7,"Mujer","entre 30 y 44"
"188","Áustria",8,9,"Mujer","entre 60 y 74"
"189","Áustria",10,9,"Mujer",NA
"190","Áustria",10,9,"Mujer","entre 60 y 74"
"191","Áustria",0,0,"Hombre","entre 45 y 59"
"192","Áustria",10,5,"Hombre","entre 60 y 74"
"193","Áustria",7,7,"Mujer","entre 60 y 74"
"194","Áustria",10,7,"Mujer","entre 45 y 59"
"195","Áustria",8,7,"Hombre","entre 45 y 59"
"196","Áustria",7,7,"Hombre","75 o mayor"
"197","Áustria",10,10,"Mujer",NA
"198","Áustria",8,7,"Mujer","entre 30 y 44"
"199","Áustria",10,7,"Mujer","entre 45 y 59"
"200","Áustria",10,6,"Mujer","entre 60 y 74"
"201","Áustria",7,7,"Mujer","entre 60 y 74"
"202","Áustria",8,4,"Hombre","entre 60 y 74"
"203","Áustria",7,7,"Hombre","entre 45 y 59"
"204","Áustria",10,8,"Hombre","75 o mayor"
"205","Áustria",9,4,"Hombre","entre 45 y 59"
"206","Áustria",10,10,"Mujer","75 o mayor"
"207","Áustria",8,7,"Mujer","entre 30 y 44"
"208","Áustria",9,9,"Mujer","75 o mayor"
"209","Áustria",10,7,"Mujer","entre 60 y 74"
"210","Áustria",10,10,"Hombre","entre 60 y 74"
"211","Áustria",10,8,"Hombre","entre 45 y 59"
"212","Áustria",10,10,"Hombre","entre 30 y 44"
"213","Áustria",10,4,"Mujer","entre 30 y 44"
"214","Áustria",5,5,"Mujer","entre 45 y 59"
"215","Áustria",6,7,"Hombre","75 o mayor"
"216","Áustria",10,8,"Mujer","75 o mayor"
"217","Áustria",8,9,"Hombre","entre 60 y 74"
"218","Áustria",6,8,"Hombre","entre 45 y 59"
"219","Áustria",10,10,"Mujer","entre 45 y 59"
"220","Áustria",3,7,"Mujer","menor de 30"
"221","Áustria",10,4,"Mujer","75 o mayor"
"222","Áustria",9,5,"Hombre","entre 30 y 44"
"223","Áustria",8,1,"Mujer","entre 45 y 59"
"224","Áustria",10,8,"Mujer","menor de 30"
"225","Áustria",7,8,"Hombre","entre 45 y 59"
"226","Áustria",7,7,"Hombre","entre 60 y 74"
"227","Áustria",8,8,"Mujer","entre 60 y 74"
"228","Áustria",9,6,"Mujer","75 o mayor"
"229","Áustria",5,5,"Hombre","entre 60 y 74"
"230","Áustria",9,7,"Mujer","entre 45 y 59"
"231","Áustria",7,7,"Mujer","menor de 30"
"232","Áustria",9,NA,"Mujer","entre 60 y 74"
"233","Áustria",10,9,"Mujer","menor de 30"
"234","Áustria",10,10,"Hombre","menor de 30"
"235","Áustria",10,10,"Hombre","entre 45 y 59"
"236","Áustria",9,2,"Mujer","75 o mayor"
"237","Áustria",5,5,"Mujer","menor de 30"
"238","Áustria",5,5,"Hombre","menor de 30"
"239","Áustria",8,7,"Hombre","entre 45 y 59"
"240","Áustria",10,4,"Hombre","entre 30 y 44"
"241","Áustria",8,9,"Mujer","entre 45 y 59"
"242","Áustria",9,7,"Mujer","entre 30 y 44"
"243","Áustria",8,6,"Mujer","75 o mayor"
"244","Áustria",10,8,"Hombre","entre 45 y 59"
"245","Áustria",8,6,"Mujer","entre 45 y 59"
"246","Áustria",10,6,"Hombre","entre 60 y 74"
"247","Áustria",9,6,"Hombre","entre 45 y 59"
"248","Áustria",10,2,"Mujer","entre 60 y 74"
"249","Áustria",6,5,"Hombre",NA
"250","Áustria",7,7,"Hombre","entre 30 y 44"
"251","Áustria",10,8,"Mujer","entre 30 y 44"
"252","Áustria",9,7,"Mujer","entre 60 y 74"
"253","Áustria",4,2,"Mujer","entre 45 y 59"
"254","Áustria",8,8,"Hombre","entre 30 y 44"
"255","Áustria",7,6,"Mujer","entre 45 y 59"
"256","Áustria",7,1,"Mujer","entre 45 y 59"
"257","Áustria",8,9,"Mujer","entre 30 y 44"
"258","Áustria",9,7,"Hombre","entre 60 y 74"
"259","Áustria",9,8,"Mujer","entre 30 y 44"
"260","Áustria",5,5,"Hombre","entre 45 y 59"
"261","Áustria",7,NA,"Mujer","menor de 30"
"262","Áustria",7,5,"Mujer","75 o mayor"
"263","Áustria",8,1,"Mujer","entre 45 y 59"
"264","Áustria",3,5,"Mujer","entre 60 y 74"
"265","Áustria",10,2,"Mujer","75 o mayor"
"266","Áustria",10,9,"Hombre","entre 60 y 74"
"267","Áustria",9,8,"Hombre","entre 60 y 74"
"268","Áustria",9,4,"Hombre","75 o mayor"
"269","Áustria",5,5,"Hombre","75 o mayor"
"270","Áustria",9,8,"Mujer","entre 60 y 74"
"271","Áustria",10,7,"Mujer","menor de 30"
"272","Áustria",10,8,"Mujer","entre 60 y 74"
"273","Áustria",9,7,"Mujer","entre 45 y 59"
"274","Áustria",6,7,"Hombre","entre 45 y 59"
"275","Áustria",8,8,"Hombre","entre 45 y 59"
"276","Áustria",9,7,"Hombre","entre 45 y 59"
"277","Áustria",9,7,"Mujer","entre 30 y 44"
"278","Áustria",10,5,"Hombre","75 o mayor"
"279","Áustria",9,9,"Hombre","entre 30 y 44"
"280","Áustria",7,7,"Mujer","75 o mayor"
"281","Áustria",10,8,"Hombre","menor de 30"
"282","Áustria",10,10,"Hombre","75 o mayor"
"283","Áustria",10,6,"Mujer",NA
"284","Áustria",9,8,"Mujer","75 o mayor"
"285","Áustria",5,5,"Hombre","entre 30 y 44"
"286","Áustria",7,9,"Mujer","entre 60 y 74"
"287","Áustria",10,7,"Hombre","75 o mayor"
"288","Áustria",10,9,"Mujer","75 o mayor"
"289","Áustria",3,5,"Mujer","entre 30 y 44"
"290","Áustria",6,6,"Mujer","menor de 30"
"291","Áustria",7,9,"Mujer","entre 30 y 44"
"292","Áustria",9,9,"Hombre","entre 30 y 44"
"293","Áustria",9,5,"Hombre","entre 45 y 59"
"294","Áustria",10,9,"Hombre","entre 30 y 44"
"295","Áustria",5,7,"Hombre","menor de 30"
"296","Áustria",10,9,"Mujer","75 o mayor"
"297","Áustria",10,5,"Hombre","entre 60 y 74"
"298","Áustria",10,0,"Hombre","75 o mayor"
"299","Áustria",9,9,"Mujer","entre 60 y 74"
"300","Áustria",9,7,"Mujer","75 o mayor"
"301","Áustria",8,6,"Mujer","menor de 30"
"302","Áustria",7,4,"Mujer","entre 60 y 74"
"303","Áustria",10,8,"Mujer","entre 60 y 74"
"304","Áustria",10,10,"Mujer","entre 30 y 44"
"305","Áustria",7,7,"Hombre","entre 30 y 44"
"306","Áustria",10,8,"Mujer","entre 45 y 59"
"307","Áustria",10,7,"Mujer","75 o mayor"
"308","Áustria",9,8,"Hombre","menor de 30"
"309","Áustria",9,2,"Mujer","entre 30 y 44"
"310","Áustria",2,2,"Hombre","entre 30 y 44"
"311","Áustria",9,7,"Mujer","entre 30 y 44"
"312","Áustria",0,0,"Hombre","75 o mayor"
"313","Áustria",10,6,"Mujer","entre 45 y 59"
"314","Áustria",7,7,"Mujer","entre 30 y 44"
"315","Áustria",9,7,"Mujer","entre 45 y 59"
"316","Áustria",9,7,"Hombre","entre 60 y 74"
"317","Áustria",8,5,"Mujer","menor de 30"
"318","Áustria",10,6,"Mujer","entre 45 y 59"
"319","Áustria",10,6,"Mujer","menor de 30"
"320","Áustria",7,9,"Mujer","menor de 30"
"321","Áustria",8,9,"Hombre","menor de 30"
"322","Áustria",5,5,"Mujer","menor de 30"
"323","Áustria",6,7,"Mujer","entre 30 y 44"
"324","Áustria",10,5,"Mujer","entre 60 y 74"
"325","Áustria",8,5,"Mujer","entre 45 y 59"
"326","Áustria",10,10,"Hombre","75 o mayor"
"327","Áustria",8,8,"Mujer",NA
"328","Áustria",9,5,"Mujer","75 o mayor"
"329","Áustria",9,3,"Mujer","75 o mayor"
"330","Áustria",NA,NA,"Mujer","menor de 30"
"331","Áustria",10,8,"Mujer","entre 30 y 44"
"332","Áustria",0,3,"Mujer","menor de 30"
"333","Áustria",9,7,"Mujer","entre 60 y 74"
"334","Áustria",9,6,"Mujer","menor de 30"
"335","Áustria",9,7,"Mujer","entre 45 y 59"
"336","Áustria",10,5,"Mujer","entre 30 y 44"
"337","Áustria",9,9,"Hombre","entre 60 y 74"
"338","Áustria",10,3,"Mujer","75 o mayor"
"339","Áustria",10,9,"Mujer","entre 45 y 59"
"340","Áustria",10,7,"Mujer","entre 30 y 44"
"341","Áustria",8,8,"Mujer","75 o mayor"
"342","Áustria",8,2,"Hombre","menor de 30"
"343","Áustria",10,1,"Mujer","entre 60 y 74"
"344","Áustria",8,7,"Hombre","entre 45 y 59"
"345","Áustria",10,7,"Mujer","entre 60 y 74"
"346","Áustria",9,7,"Hombre","menor de 30"
"347","Áustria",9,4,"Hombre","entre 45 y 59"
"348","Áustria",10,5,"Mujer","entre 45 y 59"
"349","Áustria",9,7,"Hombre","entre 45 y 59"
"350","Áustria",10,8,"Mujer","75 o mayor"
"351","Áustria",8,7,"Mujer","entre 45 y 59"
"352","Áustria",9,8,"Mujer","entre 60 y 74"
"353","Áustria",8,3,"Hombre","entre 60 y 74"
"354","Áustria",8,7,"Hombre","entre 60 y 74"
"355","Áustria",9,8,"Mujer","entre 30 y 44"
"356","Áustria",10,5,"Hombre","75 o mayor"
"357","Áustria",10,9,"Hombre","entre 45 y 59"
"358","Áustria",10,10,"Mujer","entre 60 y 74"
"359","Áustria",10,10,"Mujer","entre 30 y 44"
"360","Áustria",3,3,"Mujer","menor de 30"
"361","Áustria",9,7,"Mujer","entre 60 y 74"
"362","Áustria",7,9,"Hombre","entre 45 y 59"
"363","Áustria",10,5,"Mujer","entre 60 y 74"
"364","Áustria",8,9,"Hombre","entre 30 y 44"
"365","Áustria",10,10,"Hombre","entre 60 y 74"
"366","Áustria",10,8,"Hombre","entre 45 y 59"
"367","Áustria",7,7,"Hombre","entre 30 y 44"
"368","Áustria",10,3,"Mujer","entre 60 y 74"
"369","Áustria",9,4,"Hombre","entre 45 y 59"
"370","Áustria",8,7,"Mujer","entre 60 y 74"
"371","Áustria",2,3,"Mujer","menor de 30"
"372","Áustria",8,8,"Hombre","entre 60 y 74"
"373","Áustria",7,7,"Mujer","entre 45 y 59"
"374","Áustria",10,7,"Mujer","entre 60 y 74"
"375","Áustria",10,7,"Hombre","menor de 30"
"376","Áustria",10,7,"Hombre","75 o mayor"
"377","Áustria",10,8,"Mujer","entre 60 y 74"
"378","Áustria",9,8,"Hombre","entre 45 y 59"
"379","Áustria",9,9,"Hombre","entre 45 y 59"
"380","Áustria",8,8,"Mujer","entre 45 y 59"
"381","Áustria",9,7,"Mujer","75 o mayor"
"382","Áustria",9,3,"Mujer","entre 60 y 74"
"383","Áustria",6,5,"Hombre","entre 45 y 59"
"384","Áustria",8,6,"Hombre","75 o mayor"
"385","Áustria",8,6,"Hombre","entre 30 y 44"
"386","Áustria",3,3,"Mujer","entre 30 y 44"
"387","Áustria",10,9,"Hombre","entre 30 y 44"
"388","Áustria",10,8,"Mujer","75 o mayor"
"389","Áustria",10,8,"Hombre","entre 60 y 74"
"390","Áustria",8,6,"Hombre","entre 30 y 44"
"391","Áustria",8,6,"Mujer","entre 30 y 44"
"392","Áustria",5,5,"Hombre","entre 45 y 59"
"393","Áustria",10,10,"Hombre","entre 60 y 74"
"394","Áustria",9,8,"Hombre","entre 45 y 59"
"395","Áustria",9,0,"Mujer","entre 60 y 74"
"396","Áustria",10,8,"Mujer","entre 45 y 59"
"397","Áustria",8,7,"Mujer","entre 45 y 59"
"398","Áustria",7,2,"Hombre","entre 45 y 59"
"399","Áustria",10,8,"Mujer","75 o mayor"
"400","Áustria",9,7,"Hombre","menor de 30"
"401","Áustria",8,6,"Hombre","entre 60 y 74"
"402","Áustria",3,7,"Hombre","entre 60 y 74"
"403","Áustria",8,7,"Hombre","entre 60 y 74"
"404","Áustria",10,9,"Hombre","entre 60 y 74"
"405","Áustria",10,6,"Mujer","entre 60 y 74"
"406","Áustria",8,NA,"Hombre","entre 45 y 59"
"407","Áustria",8,5,"Hombre","entre 30 y 44"
"408","Áustria",9,7,"Mujer","entre 30 y 44"
"409","Áustria",6,6,"Hombre","entre 30 y 44"
"410","Áustria",7,4,"Hombre","entre 60 y 74"
"411","Áustria",8,3,"Hombre","entre 30 y 44"
"412","Áustria",10,9,"Mujer","entre 60 y 74"
"413","Áustria",10,8,"Mujer","entre 45 y 59"
"414","Áustria",8,5,"Mujer","entre 45 y 59"
"415","Áustria",7,7,"Mujer","menor de 30"
"416","Áustria",10,8,"Hombre","75 o mayor"
"417","Áustria",8,8,"Hombre","entre 45 y 59"
"418","Áustria",7,3,"Mujer","entre 30 y 44"
"419","Áustria",10,9,"Hombre","entre 60 y 74"
"420","Áustria",7,7,"Mujer","menor de 30"
"421","Áustria",8,8,"Hombre","entre 60 y 74"
"422","Áustria",10,7,"Mujer","75 o mayor"
"423","Áustria",4,2,"Hombre","entre 60 y 74"
"424","Áustria",10,10,"Hombre","entre 45 y 59"
"425","Áustria",10,1,"Hombre","entre 30 y 44"
"426","Áustria",8,7,"Mujer","entre 45 y 59"
"427","Áustria",9,5,"Mujer","entre 45 y 59"
"428","Áustria",8,8,"Mujer","entre 45 y 59"
"429","Áustria",8,7,"Mujer","entre 30 y 44"
"430","Áustria",10,3,"Hombre","entre 30 y 44"
"431","Áustria",8,8,"Mujer","entre 60 y 74"
"432","Áustria",8,7,"Hombre","entre 30 y 44"
"433","Áustria",9,8,"Hombre","entre 30 y 44"
"434","Áustria",7,7,"Hombre","entre 30 y 44"
"435","Áustria",8,4,"Hombre","entre 60 y 74"
"436","Áustria",8,8,"Hombre","75 o mayor"
"437","Áustria",10,10,"Mujer","entre 60 y 74"
"438","Áustria",6,4,"Mujer","entre 45 y 59"
"439","Áustria",8,8,"Mujer","menor de 30"
"440","Áustria",7,4,"Mujer","entre 45 y 59"
"441","Áustria",8,5,"Mujer","menor de 30"
"442","Áustria",9,7,"Hombre","entre 45 y 59"
"443","Áustria",9,9,"Hombre","75 o mayor"
"444","Áustria",9,7,"Hombre","entre 45 y 59"
"445","Áustria",9,2,"Hombre","entre 45 y 59"
"446","Áustria",7,7,"Hombre","menor de 30"
"447","Áustria",8,6,"Mujer","entre 60 y 74"
"448","Áustria",4,4,"Mujer",NA
"449","Áustria",5,5,"Hombre","entre 30 y 44"
"450","Áustria",10,7,"Mujer","entre 30 y 44"
"451","Áustria",10,4,"Hombre","75 o mayor"
"452","Áustria",8,7,"Hombre","entre 30 y 44"
"453","Áustria",9,6,"Hombre","entre 60 y 74"
"454","Áustria",6,3,"Mujer","entre 30 y 44"
"455","Áustria",10,9,"Hombre","75 o mayor"
"456","Áustria",8,10,"Mujer","entre 60 y 74"
"457","Áustria",10,9,"Hombre","entre 60 y 74"
"458","Áustria",10,4,"Hombre","entre 45 y 59"
"459","Áustria",10,5,"Mujer","entre 60 y 74"
"460","Áustria",10,7,"Mujer","75 o mayor"
"461","Áustria",2,10,"Hombre","entre 30 y 44"
"462","Áustria",4,4,"Mujer","entre 30 y 44"
"463","Áustria",9,8,"Mujer","entre 45 y 59"
"464","Áustria",5,8,"Mujer","menor de 30"
"465","Áustria",10,3,"Hombre","entre 30 y 44"
"466","Áustria",8,8,"Mujer","entre 45 y 59"
"467","Áustria",8,2,"Hombre","entre 45 y 59"
"468","Áustria",10,7,"Mujer","75 o mayor"
"469","Áustria",8,10,"Hombre","menor de 30"
"470","Áustria",2,0,"Mujer","entre 60 y 74"
"471","Áustria",9,4,"Mujer","75 o mayor"
"472","Áustria",10,3,"Hombre","entre 60 y 74"
"473","Áustria",9,6,"Mujer","entre 45 y 59"
"474","Áustria",7,7,"Hombre","entre 45 y 59"
"475","Áustria",9,7,"Hombre","entre 45 y 59"
"476","Áustria",8,6,"Mujer","entre 60 y 74"
"477","Áustria",8,9,"Mujer","menor de 30"
"478","Áustria",9,6,"Hombre","entre 30 y 44"
"479","Áustria",8,6,"Mujer","entre 60 y 74"
"480","Áustria",10,0,"Mujer","menor de 30"
"481","Áustria",9,7,"Hombre","entre 45 y 59"
"482","Áustria",10,10,"Mujer","menor de 30"
"483","Áustria",10,9,"Hombre",NA
"484","Áustria",10,8,"Mujer","entre 45 y 59"
"485","Áustria",10,8,"Mujer","75 o mayor"
"486","Áustria",9,5,"Mujer","entre 45 y 59"
"487","Áustria",10,6,"Hombre",NA
"488","Áustria",9,9,"Hombre","entre 60 y 74"
"489","Áustria",10,8,"Mujer","entre 45 y 59"
"490","Áustria",10,8,"Mujer","75 o mayor"
"491","Áustria",9,8,"Mujer","75 o mayor"
"492","Áustria",1,3,"Mujer","entre 60 y 74"
"493","Áustria",7,2,"Hombre","entre 45 y 59"
"494","Áustria",5,7,"Hombre","menor de 30"
"495","Áustria",8,7,"Mujer","entre 60 y 74"
"496","Áustria",7,4,"Mujer","75 o mayor"
"497","Áustria",10,10,"Mujer","entre 30 y 44"
"498","Áustria",10,8,"Mujer","entre 60 y 74"
"499","Áustria",10,6,"Mujer","75 o mayor"
"500","Áustria",10,0,"Hombre","entre 30 y 44"
"501","Áustria",10,8,"Mujer","entre 30 y 44"
"502","Áustria",10,10,"Hombre","75 o mayor"
"503","Áustria",10,1,"Mujer",NA
"504","Áustria",8,7,"Mujer","entre 60 y 74"
"505","Áustria",6,4,"Mujer","entre 30 y 44"
"506","Áustria",8,8,"Hombre","entre 60 y 74"
"507","Áustria",8,8,"Mujer","entre 60 y 74"
"508","Áustria",8,7,"Hombre","entre 45 y 59"
"509","Áustria",8,6,"Hombre","entre 30 y 44"
"510","Áustria",8,9,"Hombre","entre 60 y 74"
"511","Áustria",10,3,"Hombre","entre 60 y 74"
"512","Áustria",5,5,"Hombre","entre 45 y 59"
"513","Áustria",5,0,"Mujer","entre 45 y 59"
