"","idno","cntry","freehms","lrnobed","impcntr","atchctr","atcherp","wrclmch","gndr","agea","age_category"
"11614",61399,"Hungary",3,2,3,8,6,3,"Male",32,"entre 30 y 44"
"11615",61433,"Hungary",2,2,4,9,8,4,"Female",79,"75 o mayor"
"11616",61448,"Hungary",1,1,4,10,10,4,"Female",65,"entre 60 y 74"
"11617",61515,"Hungary",2,1,2,8,4,2,"Female",66,"entre 60 y 74"
"11618",61528,"Hungary",2,2,2,3,2,5,"Female",82,"75 o mayor"
"11619",61537,"Hungary",3,2,3,7,7,3,"Male",84,"75 o mayor"
"11620",61556,"Hungary",5,3,4,10,10,3,"Male",38,"entre 30 y 44"
"11621",61579,"Hungary",3,2,4,7,5,3,"Female",74,"entre 60 y 74"
"11622",61595,"Hungary",1,4,4,6,5,4,"Female",41,"entre 30 y 44"
"11623",61597,"Hungary",4,1,3,9,5,3,"Male",35,"entre 30 y 44"
"11624",61603,"Hungary",2,4,4,4,3,4,"Male",34,"entre 30 y 44"
"11625",61609,"Hungary",1,3,2,5,7,5,"Male",63,"entre 60 y 74"
"11626",61612,"Hungary",2,2,4,9,0,4,"Male",41,"entre 30 y 44"
"11627",61657,"Hungary",2,2,4,8,8,4,"Male",35,"entre 30 y 44"
"11628",61678,"Hungary",2,2,3,8,7,3,"Male",67,"entre 60 y 74"
"11629",61699,"Hungary",NA,3,3,9,9,4,"Female",38,"entre 30 y 44"
"11630",61705,"Hungary",1,1,4,10,10,4,"Male",73,"entre 60 y 74"
"11631",61715,"Hungary",4,1,3,9,5,3,"Male",55,"entre 45 y 59"
"11632",61740,"Hungary",4,1,3,9,4,3,"Male",37,"entre 30 y 44"
"11633",61767,"Hungary",2,3,3,8,7,3,"Female",75,"75 o mayor"
"11634",61790,"Hungary",3,4,4,6,8,2,"Male",26,"menor de 30"
"11635",61793,"Hungary",5,1,4,8,8,3,"Female",67,"entre 60 y 74"
"11636",61795,"Hungary",5,1,4,10,10,2,"Female",33,"entre 30 y 44"
"11637",61800,"Hungary",2,2,3,8,5,4,"Male",44,"entre 30 y 44"
"11638",61856,"Hungary",3,1,4,10,5,3,"Female",74,"entre 60 y 74"
"11639",61870,"Hungary",3,3,3,10,10,3,"Female",70,"entre 60 y 74"
"11640",61889,"Hungary",2,3,3,7,5,3,"Female",53,"entre 45 y 59"
"11641",61952,"Hungary",3,3,3,9,8,4,"Female",67,"entre 60 y 74"
"11642",61959,"Hungary",4,2,4,7,10,4,"Male",36,"entre 30 y 44"
"11643",61982,"Hungary",2,2,4,8,8,3,"Female",46,"entre 45 y 59"
"11644",62001,"Hungary",3,3,3,4,7,NA,"Male",54,"entre 45 y 59"
"11645",62043,"Hungary",3,1,3,9,4,2,"Male",21,"menor de 30"
"11646",62051,"Hungary",3,4,3,10,10,2,"Female",48,"entre 45 y 59"
"11647",62061,"Hungary",2,2,2,9,9,5,"Female",17,"menor de 30"
"11648",62081,"Hungary",4,3,4,5,3,3,"Female",16,"menor de 30"
"11649",62128,"Hungary",3,1,4,10,10,3,"Female",87,"75 o mayor"
"11650",62137,"Hungary",5,1,4,10,10,2,"Male",27,"menor de 30"
"11651",62158,"Hungary",1,1,3,10,10,3,"Male",55,"entre 45 y 59"
"11652",62193,"Hungary",1,3,3,6,8,4,"Male",49,"entre 45 y 59"
"11653",62219,"Hungary",1,1,4,9,9,1,"Female",16,"menor de 30"
"11654",62225,"Hungary",3,2,3,5,9,3,"Male",66,"entre 60 y 74"
"11655",62272,"Hungary",3,2,NA,9,NA,3,"Female",89,"75 o mayor"
"11656",62288,"Hungary",2,2,3,10,10,3,"Female",17,"menor de 30"
"11657",62301,"Hungary",2,2,3,7,4,2,"Male",64,"entre 60 y 74"
"11658",62308,"Hungary",5,1,4,10,10,3,"Male",NA,NA
"11659",62309,"Hungary",4,1,3,9,7,3,"Female",75,"75 o mayor"
"11660",62312,"Hungary",2,2,3,9,9,3,"Male",47,"entre 45 y 59"
"11661",62343,"Hungary",3,1,4,10,10,3,"Female",57,"entre 45 y 59"
"11662",62357,"Hungary",4,5,3,10,10,5,"Female",19,"menor de 30"
"11663",62363,"Hungary",5,2,4,5,7,2,"Male",33,"entre 30 y 44"
"11664",62386,"Hungary",1,1,4,9,9,5,"Female",61,"entre 60 y 74"
"11665",62403,"Hungary",3,3,3,7,7,2,"Female",85,"75 o mayor"
"11666",62424,"Hungary",3,1,2,6,3,4,"Male",49,"entre 45 y 59"
"11667",62484,"Hungary",2,2,2,8,8,4,"Female",44,"entre 30 y 44"
"11668",62507,"Hungary",3,3,3,6,4,5,"Female",72,"entre 60 y 74"
"11669",62514,"Hungary",5,2,4,10,10,3,"Male",79,"75 o mayor"
"11670",62519,"Hungary",1,2,3,7,5,5,"Female",61,"entre 60 y 74"
"11671",62529,"Hungary",2,NA,3,8,3,3,"Female",21,"menor de 30"
"11672",62539,"Hungary",3,1,4,9,9,3,"Female",56,"entre 45 y 59"
"11673",62558,"Hungary",1,3,4,10,10,NA,"Female",44,"entre 30 y 44"
"11674",62568,"Hungary",2,1,4,10,10,3,"Female",60,"entre 60 y 74"
"11675",62618,"Hungary",1,1,4,10,10,3,"Male",49,"entre 45 y 59"
"11676",62619,"Hungary",1,1,4,10,8,3,"Female",39,"entre 30 y 44"
"11677",62638,"Hungary",2,4,4,10,10,4,"Female",48,"entre 45 y 59"
"11678",62669,"Hungary",3,1,4,10,5,3,"Female",76,"75 o mayor"
"11679",62691,"Hungary",3,1,4,10,10,3,"Male",39,"entre 30 y 44"
"11680",62693,"Hungary",2,2,4,10,2,4,"Male",66,"entre 60 y 74"
"11681",62698,"Hungary",1,1,4,10,10,4,"Female",17,"menor de 30"
"11682",62709,"Hungary",3,3,3,10,7,5,"Female",79,"75 o mayor"
"11683",62712,"Hungary",2,4,3,6,8,4,"Female",47,"entre 45 y 59"
"11684",62714,"Hungary",2,3,3,6,4,3,"Female",54,"entre 45 y 59"
"11685",62725,"Hungary",2,5,3,8,7,4,"Female",52,"entre 45 y 59"
"11686",62735,"Hungary",5,1,3,9,4,3,"Male",68,"entre 60 y 74"
"11687",62751,"Hungary",3,3,3,5,6,3,"Male",23,"menor de 30"
"11688",62758,"Hungary",5,4,3,7,5,5,"Male",NA,NA
"11689",62766,"Hungary",2,3,4,NA,10,2,"Female",NA,NA
"11690",62769,"Hungary",3,3,3,6,7,2,"Female",49,"entre 45 y 59"
"11691",62796,"Hungary",4,1,1,10,10,3,"Male",83,"75 o mayor"
"11692",62797,"Hungary",3,2,3,10,5,4,"Female",74,"entre 60 y 74"
"11693",62802,"Hungary",5,1,4,10,9,4,"Female",68,"entre 60 y 74"
"11694",62809,"Hungary",3,5,3,5,8,1,"Male",48,"entre 45 y 59"
"11695",62815,"Hungary",4,1,3,6,6,4,"Female",27,"menor de 30"
"11696",62846,"Hungary",2,1,4,10,6,3,"Female",53,"entre 45 y 59"
"11697",62866,"Hungary",1,1,4,10,5,3,"Male",37,"entre 30 y 44"
"11698",62870,"Hungary",5,3,3,7,7,5,"Female",62,"entre 60 y 74"
"11699",62898,"Hungary",2,2,2,9,8,3,"Female",36,"entre 30 y 44"
"11700",62905,"Hungary",2,2,4,7,5,3,"Male",60,"entre 60 y 74"
"11701",62913,"Hungary",2,2,2,7,6,5,"Female",67,"entre 60 y 74"
"11702",62934,"Hungary",1,1,4,8,7,4,"Female",47,"entre 45 y 59"
"11703",62945,"Hungary",4,2,3,5,5,4,"Female",31,"entre 30 y 44"
"11704",62955,"Hungary",NA,NA,NA,NA,NA,3,"Female",21,"menor de 30"
"11705",62981,"Hungary",5,2,4,10,5,4,"Female",59,"entre 45 y 59"
"11706",62985,"Hungary",1,1,4,10,5,3,"Female",43,"entre 30 y 44"
"11707",63032,"Hungary",4,2,4,9,6,3,"Male",58,"entre 45 y 59"
"11708",63049,"Hungary",1,1,4,8,6,4,"Female",NA,NA
