"","idno","cntry","freehms","lrnobed","impcntr","atchctr","atcherp","wrclmch","gndr","agea","age_category"
"1",50014,"Austria",2,4,3,10,5,4,"Male",65,"entre 60 y 74"
"2",50030,"Austria",1,2,2,8,8,5,"Female",21,"menor de 30"
"3",50057,"Austria",1,5,1,9,7,5,"Female",53,"entre 45 y 59"
"4",50106,"Austria",2,2,2,10,8,4,"Female",78,"75 o mayor"
"5",50145,"Austria",2,1,2,10,10,4,"Male",64,"entre 60 y 74"
"6",50158,"Austria",2,2,3,8,6,4,"Female",59,"entre 45 y 59"
"7",50211,"Austria",2,2,3,9,6,3,"Female",NA,NA
"8",50212,"Austria",1,3,3,10,9,4,"Female",69,"entre 60 y 74"
"9",50213,"Austria",2,2,3,8,6,4,"Female",52,"entre 45 y 59"
"10",50235,"Austria",2,2,3,10,7,2,"Female",75,"75 o mayor"
"11",50236,"Austria",2,4,3,10,10,4,"Female",44,"entre 30 y 44"
"12",50238,"Austria",1,1,2,7,6,3,"Male",49,"entre 45 y 59"
"13",50240,"Austria",2,3,4,8,5,4,"Female",63,"entre 60 y 74"
"14",50248,"Austria",2,2,3,10,7,3,"Female",76,"75 o mayor"
"15",50270,"Austria",3,5,4,6,8,4,"Female",30,"entre 30 y 44"
"16",50281,"Austria",1,1,4,8,7,4,"Female",67,"entre 60 y 74"
"17",50310,"Austria",1,4,2,10,8,4,"Male",41,"entre 30 y 44"
"18",50311,"Austria",2,2,3,6,6,2,"Female",82,"75 o mayor"
"19",50324,"Austria",1,3,1,1,5,3,"Male",26,"menor de 30"
"20",50339,"Austria",3,3,2,8,6,3,"Male",42,"entre 30 y 44"
"21",50341,"Austria",1,1,4,10,10,2,"Female",85,"75 o mayor"
"22",50349,"Austria",1,2,2,9,6,5,"Male",72,"entre 60 y 74"
"23",50355,"Austria",1,4,4,8,6,2,"Male",31,"entre 30 y 44"
"24",50358,"Austria",4,3,4,9,1,2,"Male",47,"entre 45 y 59"
"25",50363,"Austria",2,3,2,8,8,3,"Female",50,"entre 45 y 59"
"26",50367,"Austria",1,1,3,10,8,3,"Female",60,"entre 60 y 74"
"27",50375,"Austria",2,2,4,8,6,4,"Female",43,"entre 30 y 44"
"28",50380,"Austria",2,2,3,10,5,3,"Female",41,"entre 30 y 44"
"29",50412,"Austria",1,3,3,9,7,3,"Female",35,"entre 30 y 44"
"30",50423,"Austria",2,2,2,8,5,1,"Female",49,"entre 45 y 59"
"31",50427,"Austria",1,3,4,9,0,4,"Female",36,"entre 30 y 44"
"32",50433,"Austria",5,2,2,10,10,5,"Male",46,"entre 45 y 59"
"33",50441,"Austria",3,1,4,10,2,3,"Female",81,"75 o mayor"
"34",50446,"Austria",2,2,3,6,6,4,"Female",57,"entre 45 y 59"
"35",50465,"Austria",1,4,2,9,9,4,"Female",67,"entre 60 y 74"
"36",50468,"Austria",2,4,2,10,10,3,"Female",38,"entre 30 y 44"
"37",50489,"Austria",1,2,3,8,10,4,"Female",42,"entre 30 y 44"
"38",50512,"Austria",1,2,3,10,6,3,"Female",59,"entre 45 y 59"
"39",50517,"Austria",1,3,3,10,7,4,"Male",NA,NA
"40",50577,"Austria",2,1,4,10,8,3,"Male",58,"entre 45 y 59"
"41",50591,"Austria",1,3,3,7,5,3,"Female",38,"entre 30 y 44"
"42",50592,"Austria",2,4,3,9,8,4,"Female",79,"75 o mayor"
"43",50611,"Austria",1,5,4,8,6,1,"Female",25,"menor de 30"
"44",50623,"Austria",1,2,2,9,8,4,"Female",34,"entre 30 y 44"
"45",50637,"Austria",1,1,3,7,8,2,"Male",74,"entre 60 y 74"
"46",50638,"Austria",2,3,3,9,6,3,"Male",74,"entre 60 y 74"
"47",50651,"Austria",1,4,2,9,9,4,"Female",36,"entre 30 y 44"
"48",50681,"Austria",2,1,2,8,5,3,"Male",28,"menor de 30"
"49",50687,"Austria",2,2,NA,10,10,4,"Male",65,"entre 60 y 74"
"50",50707,"Austria",NA,2,2,5,5,4,"Female",42,"entre 30 y 44"
"51",50714,"Austria",1,2,2,9,9,4,"Male",60,"entre 60 y 74"
"52",50730,"Austria",2,2,2,10,7,5,"Male",60,"entre 60 y 74"
"53",50732,"Austria",1,5,4,10,5,3,"Female",16,"menor de 30"
"54",50735,"Austria",2,4,4,10,5,2,"Male",28,"menor de 30"
"55",50812,"Austria",NA,1,NA,8,5,4,"Female",71,"entre 60 y 74"
"56",50868,"Austria",4,3,2,6,8,3,"Female",20,"menor de 30"
"57",50897,"Austria",3,2,3,9,8,3,"Female",80,"75 o mayor"
"58",50910,"Austria",5,2,2,8,7,3,"Female",75,"75 o mayor"
"59",50979,"Austria",2,3,4,8,7,3,"Male",51,"entre 45 y 59"
"60",50994,"Austria",1,1,3,10,8,5,"Female",87,"75 o mayor"
"61",50995,"Austria",2,2,3,9,10,4,"Female",57,"entre 45 y 59"
"62",51015,"Austria",4,2,3,7,4,3,"Male",76,"75 o mayor"
"63",51029,"Austria",2,NA,2,10,10,3,"Male",61,"entre 60 y 74"
"64",51042,"Austria",2,2,3,10,2,4,"Female",43,"entre 30 y 44"
"65",51046,"Austria",5,2,4,9,1,3,"Female",76,"75 o mayor"
"66",51086,"Austria",2,2,3,10,8,3,"Female",43,"entre 30 y 44"
"67",51112,"Austria",2,2,3,8,6,4,"Male",51,"entre 45 y 59"
"68",51128,"Austria",2,2,2,9,9,4,"Male",69,"entre 60 y 74"
"69",51136,"Austria",2,3,2,7,9,4,"Female",47,"entre 45 y 59"
"70",51181,"Austria",2,1,4,8,7,3,"Male",89,"75 o mayor"
"71",51190,"Austria",2,4,4,10,5,3,"Male",72,"entre 60 y 74"
"72",51191,"Austria",1,2,4,10,5,3,"Female",74,"entre 60 y 74"
"73",51192,"Austria",2,3,2,9,6,3,"Female",68,"entre 60 y 74"
"74",51221,"Austria",1,5,2,8,3,3,"Female",36,"entre 30 y 44"
"75",51224,"Austria",2,2,2,9,8,4,"Male",87,"75 o mayor"
"76",51231,"Austria",4,2,4,8,6,2,"Female",74,"entre 60 y 74"
"77",51259,"Austria",NA,2,4,5,5,4,"Male",24,"menor de 30"
"78",51262,"Austria",2,2,3,9,6,5,"Male",59,"entre 45 y 59"
"79",51285,"Austria",2,4,4,7,5,3,"Female",21,"menor de 30"
"80",51322,"Austria",1,1,3,9,8,3,"Male",32,"entre 30 y 44"
"81",51414,"Austria",2,4,4,9,6,3,"Female",47,"entre 45 y 59"
"82",51440,"Austria",1,4,1,8,8,5,"Male",45,"entre 45 y 59"
"83",51455,"Austria",2,2,3,8,6,4,"Male",44,"entre 30 y 44"
"84",51503,"Austria",2,4,4,5,5,4,"Male",68,"entre 60 y 74"
"85",51504,"Austria",2,3,4,10,5,4,"Male",20,"menor de 30"
"86",51506,"Austria",2,4,2,9,8,4,"Male",33,"entre 30 y 44"
"87",51521,"Austria",2,2,2,7,7,4,"Male",27,"menor de 30"
"88",51555,"Austria",2,3,4,10,5,2,"Male",28,"menor de 30"
"89",51578,"Austria",1,2,2,10,6,3,"Male",73,"entre 60 y 74"
"90",51581,"Austria",1,4,2,9,9,4,"Male",62,"entre 60 y 74"
"91",51596,"Austria",2,3,3,9,7,3,"Male",58,"entre 45 y 59"
"92",51650,"Austria",1,2,1,5,5,3,"Female",90,"75 o mayor"
"93",51713,"Austria",2,2,3,9,7,4,"Male",38,"entre 30 y 44"
"94",51719,"Austria",5,2,4,9,2,3,"Female",85,"75 o mayor"
"95",51720,"Austria",1,1,3,9,6,5,"Female",74,"entre 60 y 74"
"96",51731,"Austria",1,3,1,6,8,4,"Male",42,"entre 30 y 44"
"97",51735,"Austria",2,2,3,7,4,3,"Female",51,"entre 45 y 59"
"98",51736,"Austria",1,1,4,10,6,4,"Male",76,"75 o mayor"
"99",51739,"Austria",2,3,4,8,5,3,"Female",70,"entre 60 y 74"
"100",51741,"Austria",1,1,3,5,4,1,"Male",28,"menor de 30"
"101",51757,"Austria",2,2,2,10,7,3,"Male",18,"menor de 30"
"102",51766,"Austria",1,1,3,10,0,5,"Male",64,"entre 60 y 74"
"103",51773,"Austria",2,2,2,9,6,3,"Male",59,"entre 45 y 59"
"104",51780,"Austria",2,3,2,9,9,3,"Female",49,"entre 45 y 59"
"105",51802,"Austria",2,2,3,10,10,3,"Male",70,"entre 60 y 74"
"106",51857,"Austria",1,3,3,10,6,3,"Female",71,"entre 60 y 74"
"107",51878,"Austria",1,4,1,7,8,5,"Male",58,"entre 45 y 59"
"108",51897,"Austria",1,2,3,10,8,5,"Male",83,"75 o mayor"
"109",51901,"Austria",2,1,3,10,7,3,"Female",74,"entre 60 y 74"
"110",51911,"Austria",2,5,1,9,8,4,"Female",86,"75 o mayor"
"111",51944,"Austria",1,4,3,7,7,4,"Female",26,"menor de 30"
"112",51959,"Austria",2,2,3,5,5,2,"Male",52,"entre 45 y 59"
"113",51961,"Austria",3,1,4,9,8,4,"Male",63,"entre 60 y 74"
"114",51965,"Austria",1,1,2,10,10,3,"Female",61,"entre 60 y 74"
"115",51977,"Austria",1,3,1,6,10,4,"Female",47,"entre 45 y 59"
"116",51995,"Austria",2,2,3,10,9,4,"Male",70,"entre 60 y 74"
"117",52009,"Austria",1,4,2,9,9,5,"Female",67,"entre 60 y 74"
"118",52020,"Austria",2,1,2,9,6,4,"Male",68,"entre 60 y 74"
"119",52035,"Austria",1,3,3,7,4,3,"Female",50,"entre 45 y 59"
"120",52046,"Austria",2,3,1,10,7,2,"Male",62,"entre 60 y 74"
"121",52062,"Austria",1,4,3,9,6,3,"Female",64,"entre 60 y 74"
"122",52065,"Austria",4,2,3,8,6,3,"Male",39,"entre 30 y 44"
"123",52089,"Austria",1,2,3,9,6,3,"Female",43,"entre 30 y 44"
"124",52094,"Austria",2,4,3,10,5,4,"Male",47,"entre 45 y 59"
"125",52117,"Austria",1,3,4,10,6,2,"Female",30,"entre 30 y 44"
"126",52135,"Austria",1,2,NA,10,7,4,"Female",NA,NA
"127",52150,"Austria",3,2,3,5,2,3,"Female",48,"entre 45 y 59"
"128",52170,"Austria",1,2,1,3,6,3,"Female",35,"entre 30 y 44"
"129",52179,"Austria",5,3,2,10,1,4,"Male",48,"entre 45 y 59"
"130",52249,"Austria",1,2,2,8,6,2,"Male",53,"entre 45 y 59"
"131",52271,"Austria",4,2,2,9,8,4,"Male",54,"entre 45 y 59"
"132",52278,"Austria",2,2,3,8,7,4,"Male",50,"entre 45 y 59"
"133",52280,"Austria",1,3,3,7,6,3,"Female",42,"entre 30 y 44"
"134",52284,"Austria",NA,4,4,9,6,3,"Male",46,"entre 45 y 59"
"135",52285,"Austria",3,2,4,7,4,3,"Male",53,"entre 45 y 59"
"136",52286,"Austria",2,2,3,10,8,3,"Female",33,"entre 30 y 44"
"137",52289,"Austria",1,4,3,6,5,4,"Male",23,"menor de 30"
"138",52291,"Austria",1,2,4,10,0,4,"Male",73,"entre 60 y 74"
"139",52293,"Austria",2,1,3,9,3,4,"Male",55,"entre 45 y 59"
"140",52305,"Austria",1,1,3,10,8,4,"Female",64,"entre 60 y 74"
"141",52438,"Austria",1,3,2,7,5,4,"Female",76,"75 o mayor"
"142",52449,"Austria",1,3,2,10,9,3,"Male",57,"entre 45 y 59"
"143",52452,"Austria",4,1,3,10,7,3,"Male",69,"entre 60 y 74"
"144",52471,"Austria",1,2,1,10,10,3,"Female",47,"entre 45 y 59"
"145",52472,"Austria",2,1,3,10,10,3,"Female",57,"entre 45 y 59"
"146",52477,"Austria",1,4,2,10,8,2,"Female",57,"entre 45 y 59"
"147",52480,"Austria",2,2,3,8,5,3,"Male",90,"75 o mayor"
"148",52487,"Austria",3,2,4,9,5,2,"Male",44,"entre 30 y 44"
"149",52510,"Austria",2,2,3,10,9,4,"Female",73,"entre 60 y 74"
"150",52519,"Austria",2,2,3,10,6,2,"Female",78,"75 o mayor"
"151",52532,"Austria",1,1,4,10,0,4,"Female",72,"entre 60 y 74"
"152",52545,"Austria",2,5,1,7,6,3,"Female",54,"entre 45 y 59"
"153",52573,"Austria",1,1,2,8,6,4,"Female",24,"menor de 30"
"154",52600,"Austria",1,4,4,10,5,1,"Female",42,"entre 30 y 44"
"155",52616,"Austria",1,2,3,10,8,4,"Male",17,"menor de 30"
"156",52629,"Austria",2,4,3,10,3,3,"Female",59,"entre 45 y 59"
"157",52638,"Austria",2,2,4,10,5,3,"Female",81,"75 o mayor"
"158",52644,"Austria",1,2,4,10,6,4,"Female",50,"entre 45 y 59"
"159",52681,"Austria",1,2,3,10,8,4,"Male",45,"entre 45 y 59"
"160",52716,"Austria",2,3,3,9,9,3,"Male",62,"entre 60 y 74"
"161",52731,"Austria",1,2,3,10,9,4,"Female",71,"entre 60 y 74"
"162",52744,"Austria",1,2,2,3,7,2,"Male",58,"entre 45 y 59"
"163",52745,"Austria",2,4,4,10,5,1,"Male",53,"entre 45 y 59"
"164",52746,"Austria",3,2,4,8,5,3,"Female",54,"entre 45 y 59"
"165",52759,"Austria",2,2,4,9,4,3,"Female",65,"entre 60 y 74"
"166",52762,"Austria",2,4,4,9,6,3,"Female",29,"menor de 30"
"167",52781,"Austria",1,1,2,9,7,3,"Female",29,"menor de 30"
"168",52791,"Austria",2,2,3,9,7,4,"Female",67,"entre 60 y 74"
"169",52796,"Austria",2,3,3,10,6,3,"Male",69,"entre 60 y 74"
"170",52815,"Austria",2,4,2,1,2,3,"Male",25,"menor de 30"
"171",52833,"Austria",2,2,3,8,6,4,"Male",44,"entre 30 y 44"
"172",52858,"Austria",1,2,3,8,5,4,"Female",70,"entre 60 y 74"
"173",52880,"Austria",2,4,3,10,10,5,"Female",61,"entre 60 y 74"
"174",52888,"Austria",4,2,4,9,5,2,"Female",64,"entre 60 y 74"
"175",52891,"Austria",2,2,3,8,7,2,"Male",56,"entre 45 y 59"
"176",52904,"Austria",1,2,4,5,2,2,"Male",71,"entre 60 y 74"
"177",52907,"Austria",2,2,3,8,4,2,"Male",74,"entre 60 y 74"
"178",52910,"Austria",1,4,3,NA,NA,2,"Female",19,"menor de 30"
"179",52975,"Austria",1,2,4,7,8,3,"Male",48,"entre 45 y 59"
"180",52994,"Austria",1,3,2,10,9,4,"Female",39,"entre 30 y 44"
"181",53002,"Austria",1,5,2,9,9,4,"Male",69,"entre 60 y 74"
"182",53008,"Austria",2,2,2,9,8,3,"Male",81,"75 o mayor"
"183",53011,"Austria",2,2,2,10,10,4,"Female",80,"75 o mayor"
"184",53015,"Austria",1,3,2,10,8,3,"Female",34,"entre 30 y 44"
"185",53016,"Austria",2,2,3,9,8,4,"Female",81,"75 o mayor"
"186",53029,"Austria",1,3,4,10,7,3,"Male",57,"entre 45 y 59"
"187",53067,"Austria",1,3,2,7,7,5,"Female",30,"entre 30 y 44"
"188",53091,"Austria",1,1,2,8,9,5,"Female",70,"entre 60 y 74"
"189",53100,"Austria",3,1,2,10,9,4,"Female",NA,NA
"190",53131,"Austria",1,2,3,10,9,4,"Female",66,"entre 60 y 74"
"191",53145,"Austria",1,1,4,0,0,3,"Male",54,"entre 45 y 59"
"192",53154,"Austria",3,2,4,10,5,3,"Male",68,"entre 60 y 74"
"193",53159,"Austria",1,4,3,7,7,3,"Female",70,"entre 60 y 74"
"194",53183,"Austria",1,3,4,10,7,2,"Female",53,"entre 45 y 59"
"195",53193,"Austria",2,2,3,8,7,4,"Male",52,"entre 45 y 59"
"196",53212,"Austria",3,2,2,7,7,2,"Male",76,"75 o mayor"
"197",53236,"Austria",3,2,3,10,10,3,"Female",NA,NA
"198",53245,"Austria",2,4,2,8,7,3,"Female",40,"entre 30 y 44"
"199",53278,"Austria",2,2,2,10,7,3,"Female",50,"entre 45 y 59"
"200",53286,"Austria",2,2,4,10,6,5,"Female",60,"entre 60 y 74"
"201",53298,"Austria",3,2,3,7,7,3,"Female",73,"entre 60 y 74"
"202",53301,"Austria",2,2,3,8,4,2,"Male",65,"entre 60 y 74"
"203",53315,"Austria",1,2,3,7,7,2,"Male",58,"entre 45 y 59"
"204",53333,"Austria",2,1,2,10,8,5,"Male",89,"75 o mayor"
"205",53359,"Austria",3,2,4,9,4,2,"Male",48,"entre 45 y 59"
"206",53368,"Austria",2,1,2,10,10,3,"Female",84,"75 o mayor"
"207",53377,"Austria",2,2,3,8,7,4,"Female",41,"entre 30 y 44"
"208",53380,"Austria",2,2,3,9,9,2,"Female",86,"75 o mayor"
"209",53384,"Austria",4,1,4,10,7,5,"Female",60,"entre 60 y 74"
"210",53390,"Austria",NA,3,2,10,10,4,"Male",61,"entre 60 y 74"
"211",53398,"Austria",1,3,2,10,8,4,"Male",51,"entre 45 y 59"
"212",53415,"Austria",2,4,1,10,10,3,"Male",36,"entre 30 y 44"
"213",53421,"Austria",1,1,2,10,4,3,"Female",40,"entre 30 y 44"
"214",53425,"Austria",2,4,4,5,5,4,"Female",57,"entre 45 y 59"
"215",53458,"Austria",2,2,NA,6,7,3,"Male",75,"75 o mayor"
"216",53467,"Austria",2,2,2,10,8,3,"Female",90,"75 o mayor"
"217",53497,"Austria",1,3,2,8,9,4,"Male",65,"entre 60 y 74"
"218",53502,"Austria",2,2,3,6,8,2,"Male",45,"entre 45 y 59"
"219",53509,"Austria",1,2,4,10,10,4,"Female",47,"entre 45 y 59"
"220",53535,"Austria",1,5,1,3,7,5,"Female",26,"menor de 30"
"221",53536,"Austria",2,2,4,10,4,2,"Female",75,"75 o mayor"
"222",53539,"Austria",1,4,2,9,5,2,"Male",35,"entre 30 y 44"
"223",53567,"Austria",3,2,4,8,1,3,"Female",52,"entre 45 y 59"
"224",53580,"Austria",1,2,3,10,8,3,"Female",28,"menor de 30"
"225",53620,"Austria",3,4,2,7,8,4,"Male",56,"entre 45 y 59"
"226",53645,"Austria",1,5,1,7,7,2,"Male",67,"entre 60 y 74"
"227",53647,"Austria",2,4,3,8,8,3,"Female",63,"entre 60 y 74"
"228",53674,"Austria",NA,2,4,9,6,4,"Female",81,"75 o mayor"
"229",53691,"Austria",2,4,3,5,5,5,"Male",64,"entre 60 y 74"
"230",53810,"Austria",2,2,4,9,7,4,"Female",51,"entre 45 y 59"
"231",53820,"Austria",1,5,2,7,7,3,"Female",21,"menor de 30"
"232",53821,"Austria",2,2,3,9,NA,5,"Female",66,"entre 60 y 74"
"233",53834,"Austria",1,2,2,10,9,3,"Female",17,"menor de 30"
"234",53841,"Austria",1,2,NA,10,10,5,"Male",18,"menor de 30"
"235",53865,"Austria",1,3,2,10,10,4,"Male",52,"entre 45 y 59"
"236",53877,"Austria",2,1,4,9,2,4,"Female",76,"75 o mayor"
"237",53892,"Austria",1,2,2,5,5,NA,"Female",22,"menor de 30"
"238",53922,"Austria",3,3,3,5,5,1,"Male",19,"menor de 30"
"239",53933,"Austria",2,2,4,8,7,4,"Male",51,"entre 45 y 59"
"240",53938,"Austria",2,3,4,10,4,2,"Male",43,"entre 30 y 44"
"241",53948,"Austria",1,1,4,8,9,1,"Female",58,"entre 45 y 59"
"242",53957,"Austria",2,2,4,9,7,4,"Female",41,"entre 30 y 44"
"243",53971,"Austria",1,2,3,8,6,3,"Female",80,"75 o mayor"
"244",53989,"Austria",5,1,3,10,8,4,"Male",47,"entre 45 y 59"
"245",54005,"Austria",1,5,3,8,6,4,"Female",52,"entre 45 y 59"
"246",54007,"Austria",1,3,4,10,6,3,"Male",73,"entre 60 y 74"
"247",54024,"Austria",2,2,4,9,6,2,"Male",53,"entre 45 y 59"
"248",54027,"Austria",2,3,3,10,2,3,"Female",61,"entre 60 y 74"
"249",54029,"Austria",3,2,2,6,5,3,"Male",NA,NA
"250",54030,"Austria",1,5,3,7,7,3,"Male",33,"entre 30 y 44"
"251",54035,"Austria",1,2,3,10,8,3,"Female",44,"entre 30 y 44"
"252",54054,"Austria",2,2,2,9,7,3,"Female",64,"entre 60 y 74"
"253",54060,"Austria",1,2,4,4,2,3,"Female",56,"entre 45 y 59"
"254",54081,"Austria",2,3,1,8,8,3,"Male",32,"entre 30 y 44"
"255",54136,"Austria",1,2,2,7,6,4,"Female",54,"entre 45 y 59"
"256",54159,"Austria",3,3,4,7,1,4,"Female",52,"entre 45 y 59"
"257",54171,"Austria",1,3,1,8,9,3,"Female",35,"entre 30 y 44"
"258",54172,"Austria",2,2,4,9,7,4,"Male",69,"entre 60 y 74"
"259",54175,"Austria",3,2,3,9,8,2,"Female",34,"entre 30 y 44"
"260",54185,"Austria",2,2,1,5,5,3,"Male",48,"entre 45 y 59"
"261",54206,"Austria",1,3,4,7,NA,3,"Female",26,"menor de 30"
"262",54236,"Austria",3,2,3,7,5,3,"Female",85,"75 o mayor"
"263",54257,"Austria",1,1,2,8,1,4,"Female",57,"entre 45 y 59"
"264",54260,"Austria",1,5,2,3,5,5,"Female",69,"entre 60 y 74"
"265",54308,"Austria",2,1,NA,10,2,3,"Female",83,"75 o mayor"
"266",54342,"Austria",1,2,2,10,9,2,"Male",66,"entre 60 y 74"
"267",54344,"Austria",2,2,1,9,8,4,"Male",71,"entre 60 y 74"
"268",54364,"Austria",5,3,4,9,4,2,"Male",82,"75 o mayor"
"269",54389,"Austria",4,2,4,5,5,3,"Male",85,"75 o mayor"
"270",54394,"Austria",2,2,3,9,8,3,"Female",74,"entre 60 y 74"
"271",54439,"Austria",1,4,1,10,7,5,"Female",27,"menor de 30"
"272",54458,"Austria",1,3,2,10,8,3,"Female",60,"entre 60 y 74"
"273",54499,"Austria",2,2,3,9,7,4,"Female",55,"entre 45 y 59"
"274",54515,"Austria",1,4,1,6,7,3,"Male",57,"entre 45 y 59"
"275",54554,"Austria",1,2,2,8,8,3,"Male",52,"entre 45 y 59"
"276",54557,"Austria",2,2,3,9,7,4,"Male",49,"entre 45 y 59"
"277",54571,"Austria",1,4,3,9,7,3,"Female",41,"entre 30 y 44"
"278",54578,"Austria",2,3,4,10,5,4,"Male",76,"75 o mayor"
"279",54588,"Austria",1,4,3,9,9,4,"Male",41,"entre 30 y 44"
"280",54675,"Austria",1,4,2,7,7,4,"Female",85,"75 o mayor"
"281",54687,"Austria",1,3,3,10,8,3,"Male",21,"menor de 30"
"282",54697,"Austria",1,5,2,10,10,1,"Male",76,"75 o mayor"
"283",54730,"Austria",NA,2,NA,10,6,3,"Female",NA,NA
"284",54735,"Austria",2,2,3,9,8,3,"Female",76,"75 o mayor"
"285",54739,"Austria",1,4,3,5,5,4,"Male",33,"entre 30 y 44"
"286",54744,"Austria",1,5,1,7,9,4,"Female",66,"entre 60 y 74"
"287",54796,"Austria",2,2,2,10,7,3,"Male",84,"75 o mayor"
"288",54801,"Austria",1,2,2,10,9,3,"Female",89,"75 o mayor"
"289",54837,"Austria",1,3,2,3,5,3,"Female",33,"entre 30 y 44"
"290",54871,"Austria",1,3,2,6,6,4,"Female",28,"menor de 30"
"291",54886,"Austria",3,2,4,7,9,3,"Female",34,"entre 30 y 44"
"292",54929,"Austria",2,2,3,9,9,3,"Male",44,"entre 30 y 44"
"293",54930,"Austria",2,3,4,9,5,2,"Male",51,"entre 45 y 59"
"294",54936,"Austria",1,4,2,10,9,5,"Male",37,"entre 30 y 44"
"295",54937,"Austria",5,2,4,5,7,3,"Male",24,"menor de 30"
"296",54957,"Austria",2,3,3,10,9,4,"Female",76,"75 o mayor"
"297",54962,"Austria",2,2,2,10,5,3,"Male",69,"entre 60 y 74"
"298",55001,"Austria",4,2,4,10,0,3,"Male",82,"75 o mayor"
"299",55024,"Austria",1,3,2,9,9,5,"Female",64,"entre 60 y 74"
"300",55040,"Austria",NA,1,3,9,7,3,"Female",83,"75 o mayor"
"301",55046,"Austria",1,3,3,8,6,3,"Female",25,"menor de 30"
"302",55057,"Austria",2,2,3,7,4,2,"Female",60,"entre 60 y 74"
"303",55064,"Austria",NA,2,3,10,8,3,"Female",74,"entre 60 y 74"
"304",55093,"Austria",1,4,2,10,10,5,"Female",31,"entre 30 y 44"
"305",55120,"Austria",2,4,1,7,7,4,"Male",44,"entre 30 y 44"
"306",55127,"Austria",1,3,2,10,8,5,"Female",52,"entre 45 y 59"
"307",55129,"Austria",1,4,4,10,7,4,"Female",75,"75 o mayor"
"308",55158,"Austria",1,2,2,9,8,4,"Male",20,"menor de 30"
"309",55187,"Austria",1,1,3,9,2,5,"Female",36,"entre 30 y 44"
"310",55196,"Austria",2,4,4,2,2,4,"Male",44,"entre 30 y 44"
"311",55197,"Austria",2,2,3,9,7,4,"Female",41,"entre 30 y 44"
"312",55206,"Austria",1,3,2,0,0,5,"Male",75,"75 o mayor"
"313",55208,"Austria",1,3,4,10,6,3,"Female",48,"entre 45 y 59"
"314",55232,"Austria",1,4,2,7,7,5,"Female",30,"entre 30 y 44"
"315",55248,"Austria",1,4,2,9,7,3,"Female",58,"entre 45 y 59"
"316",55261,"Austria",2,2,3,9,7,2,"Male",72,"entre 60 y 74"
"317",55270,"Austria",1,4,1,8,5,3,"Female",24,"menor de 30"
"318",55271,"Austria",3,4,2,10,6,4,"Female",46,"entre 45 y 59"
"319",55274,"Austria",1,4,4,10,6,2,"Female",22,"menor de 30"
"320",55301,"Austria",1,3,1,7,9,4,"Female",20,"menor de 30"
"321",55320,"Austria",4,2,3,8,9,2,"Male",23,"menor de 30"
"322",55343,"Austria",1,2,3,5,5,3,"Female",24,"menor de 30"
"323",55366,"Austria",2,2,4,6,7,1,"Female",34,"entre 30 y 44"
"324",55370,"Austria",5,2,2,10,5,4,"Female",72,"entre 60 y 74"
"325",55387,"Austria",3,3,3,8,5,3,"Female",57,"entre 45 y 59"
"326",55421,"Austria",2,2,3,10,10,2,"Male",89,"75 o mayor"
"327",55451,"Austria",2,2,2,8,8,3,"Female",NA,NA
"328",55457,"Austria",3,1,3,9,5,2,"Female",90,"75 o mayor"
"329",55471,"Austria",2,3,3,9,3,3,"Female",79,"75 o mayor"
"330",55483,"Austria",1,5,2,NA,NA,2,"Female",26,"menor de 30"
"331",55504,"Austria",1,2,3,10,8,4,"Female",40,"entre 30 y 44"
"332",55527,"Austria",1,2,1,0,3,3,"Female",28,"menor de 30"
"333",55547,"Austria",2,2,3,9,7,4,"Female",64,"entre 60 y 74"
"334",55548,"Austria",1,2,3,9,6,3,"Female",15,"menor de 30"
"335",55551,"Austria",2,2,3,9,7,4,"Female",49,"entre 45 y 59"
"336",55553,"Austria",2,4,2,10,5,4,"Female",30,"entre 30 y 44"
"337",55555,"Austria",1,2,2,9,9,3,"Male",61,"entre 60 y 74"
"338",55585,"Austria",1,1,4,10,3,3,"Female",76,"75 o mayor"
"339",55600,"Austria",1,2,2,10,9,3,"Female",53,"entre 45 y 59"
"340",55626,"Austria",1,3,4,10,7,3,"Female",30,"entre 30 y 44"
"341",55650,"Austria",1,2,2,8,8,4,"Female",76,"75 o mayor"
"342",55716,"Austria",5,4,3,8,2,2,"Male",29,"menor de 30"
"343",55726,"Austria",2,3,3,10,1,3,"Female",72,"entre 60 y 74"
"344",55741,"Austria",2,3,3,8,7,2,"Male",58,"entre 45 y 59"
"345",55758,"Austria",1,2,4,10,7,4,"Female",63,"entre 60 y 74"
"346",55813,"Austria",2,4,2,9,7,4,"Male",18,"menor de 30"
"347",55816,"Austria",4,2,4,9,4,3,"Male",57,"entre 45 y 59"
"348",55858,"Austria",1,3,NA,10,5,4,"Female",59,"entre 45 y 59"
"349",55919,"Austria",2,3,2,9,7,4,"Male",57,"entre 45 y 59"
"350",55939,"Austria",3,2,4,10,8,3,"Female",81,"75 o mayor"
"351",55952,"Austria",2,2,3,8,7,5,"Female",47,"entre 45 y 59"
"352",55963,"Austria",2,1,3,9,8,3,"Female",60,"entre 60 y 74"
"353",55974,"Austria",2,3,3,8,3,3,"Male",67,"entre 60 y 74"
"354",56061,"Austria",3,3,3,8,7,4,"Male",72,"entre 60 y 74"
"355",56076,"Austria",1,2,1,9,8,4,"Female",42,"entre 30 y 44"
