"name","essround","edition","proddate","idno","cntry","dweight","pweight","freehms","lrnobed","impcntr","atchctr","atcherp","wrclmch","gndr","agea","prob","stratum","psu"
"ESS11e01",11,"1.0","20.06.2024",56624,"NL",0.996883,0.8899064,1,2,2,3,0,1,1,76,0.00033885776,725,9339
"ESS11e01",11,"1.0","20.06.2024",56627,"NL",1.051896,0.8899064,2,2,3,1,5,3,1,16,0.00032113586,733,8116
"ESS11e01",11,"1.0","20.06.2024",56628,"NL",0.9857699,0.8899064,1,2,3,8,6,3,2,63,0.00034267787,748,9641
"ESS11e01",11,"1.0","20.06.2024",56629,"NL",0.9528661,0.8899064,3,1,2,8,5,4,1,51,0.00035451102,717,8803
"ESS11e01",11,"1.0","20.06.2024",56661,"NL",0.996883,0.8899064,1,1,2,8,8,3,1,67,0.00033885776,725,9428
"ESS11e01",11,"1.0","20.06.2024",56683,"NL",1.0196493,0.8899064,1,2,2,8,8,3,2,66,0.00033129187,753,8992
"ESS11e01",11,"1.0","20.06.2024",56695,"NL",0.99584943,0.8899064,1,2,3,8,8,4,2,50,0.00033920942,743,8373
"ESS11e01",11,"1.0","20.06.2024",56710,"NL",1.0127593,0.8899064,2,2,4,7,6,2,2,76,0.0003335457,752,9498
"ESS11e01",11,"1.0","20.06.2024",56727,"NL",0.996883,0.8899064,1,1,2,10,7,3,1,80,0.00033885776,725,9212
"ESS11e01",11,"1.0","20.06.2024",56755,"NL",0.9528661,0.8899064,4,1,3,9,0,2,1,47,0.00035451102,717,9490
"ESS11e01",11,"1.0","20.06.2024",56759,"NL",0.9942842,0.8899064,1,1,2,8,6,2,1,54,0.00033974342,718,8575
"ESS11e01",11,"1.0","20.06.2024",56786,"NL",0.92712563,0.8899064,1,2,2,8,6,4,2,59,0.00036435356,746,9713
"ESS11e01",11,"1.0","20.06.2024",56827,"NL",1.0035002,0.8899064,1,5,3,0,0,1,1,42,0.00033662328,714,9233
"ESS11e01",11,"1.0","20.06.2024",56845,"NL",1.0238738,0.8899064,1,1,2,8,6,2,2,86,0.00032992495,751,9746
"ESS11e01",11,"1.0","20.06.2024",56905,"NL",1.0127593,0.8899064,1,2,1,0,9,5,2,65,0.0003335457,752,8654
"ESS11e01",11,"1.0","20.06.2024",56911,"NL",1.0419323,0.8899064,1,2,2,5,4,3,2,28,0.00032420678,735,9063
"ESS11e01",11,"1.0","20.06.2024",56939,"NL",1.0143288,0.8899064,2,4,1,7,7,3,2,41,0.0003330296,740,8103
"ESS11e01",11,"1.0","20.06.2024",56943,"NL",0.9857699,0.8899064,1,2,2,8,8,4,2,65,0.00034267787,748,8866
"ESS11e01",11,"1.0","20.06.2024",56955,"NL",1.0102389,0.8899064,2,1,2,7,5,4,2,77,0.00033437787,750,8450
"ESS11e01",11,"1.0","20.06.2024",56961,"NL",0.9528661,0.8899064,1,1,2,8,7,3,1,49,0.00035451102,717,8715
"ESS11e01",11,"1.0","20.06.2024",56988,"NL",1.0318297,0.8899064,1,3,1,9,6,4,2,38,0.00032738107,739,8494
"ESS11e01",11,"1.0","20.06.2024",56995,"NL",0.9492825,0.8899064,1,4,2,5,4,3,1,25,0.00035584928,755,9727
"ESS11e01",11,"1.0","20.06.2024",57015,"NL",1.0419323,0.8899064,2,4,3,5,5,4,2,33,0.00032420678,735,8571
"ESS11e01",11,"1.0","20.06.2024",57030,"NL",0.9857699,0.8899064,2,3,2,8,8,3,2,61,0.00034267787,748,8695
"ESS11e01",11,"1.0","20.06.2024",57111,"NL",0.9868016,0.8899064,1,3,1,6,6,2,2,32,0.00034231957,736,8403
"ESS11e01",11,"1.0","20.06.2024",57148,"NL",0.9937498,0.8899064,1,4,2,1,4,4,2,22,0.00033992613,728,9105
"ESS11e01",11,"1.0","20.06.2024",57149,"NL",0.98636466,0.8899064,2,4,2,7,7,3,1,60,0.00034247123,719,9778
"ESS11e01",11,"1.0","20.06.2024",57150,"NL",1.0007535,0.8899064,1,2,2,5,5,2,1,38,0.0003375472,713,9665
"ESS11e01",11,"1.0","20.06.2024",57187,"NL",1.0081737,0.8899064,2,3,3,88,88,2,1,39,0.0003350628,758,8175
"ESS11e01",11,"1.0","20.06.2024",57192,"NL",1.0053298,0.8899064,1,2,2,8,9,3,1,73,0.00033601062,726,9355
"ESS11e01",11,"1.0","20.06.2024",57199,"NL",0.99584943,0.8899064,1,3,2,9,7,5,2,54,0.00033920942,743,8485
"ESS11e01",11,"1.0","20.06.2024",57217,"NL",0.9461035,0.8899064,3,2,3,4,1,4,1,61,0.00035704498,723,8227
"ESS11e01",11,"1.0","20.06.2024",57276,"NL",1.0007535,0.8899064,2,2,1,2,2,3,1,40,0.0003375472,713,9720
"ESS11e01",11,"1.0","20.06.2024",57295,"NL",1.0127593,0.8899064,2,3,3,7,5,4,2,68,0.0003335457,752,9121
"ESS11e01",11,"1.0","20.06.2024",57302,"NL",0.9874631,0.8899064,1,2,2,8,8,2,2,54,0.00034209026,741,8589
"ESS11e01",11,"1.0","20.06.2024",57309,"NL",0.9384855,0.8899064,1,2,2,9,10,3,2,51,0.00035994325,745,9298
"ESS11e01",11,"1.0","20.06.2024",57327,"NL",0.996883,0.8899064,1,2,2,7,5,5,1,65,0.00033885776,725,9669
"ESS11e01",11,"1.0","20.06.2024",57379,"NL",0.9868016,0.8899064,1,4,2,8,9,3,2,32,0.00034231957,736,8850
"ESS11e01",11,"1.0","20.06.2024",57394,"NL",1.0559736,0.8899064,1,4,1,5,5,4,2,18,0.00031989577,730,9060
"ESS11e01",11,"1.0","20.06.2024",57432,"NL",1.0422887,0.8899064,2,3,3,2,4,3,2,47,0.00032409595,742,9671
"ESS11e01",11,"1.0","20.06.2024",57461,"NL",0.9857699,0.8899064,7,2,2,5,7,1,2,56,0.00034267787,748,9126
"ESS11e01",11,"1.0","20.06.2024",57485,"NL",0.93703866,0.8899064,2,2,2,7,6,4,1,48,0.00036049902,716,8382
"ESS11e01",11,"1.0","20.06.2024",57489,"NL",0.9937498,0.8899064,1,3,1,6,6,4,2,16,0.00033992613,728,8717
"ESS11e01",11,"1.0","20.06.2024",57523,"NL",1.0127593,0.8899064,2,2,4,8,6,3,2,75,0.0003335457,752,9552
"ESS11e01",11,"1.0","20.06.2024",57581,"NL",1.0726442,0.8899064,1,1,3,9,4,3,1,31,0.00031492408,757,8420
"ESS11e01",11,"1.0","20.06.2024",57588,"NL",1.0335038,0.8899064,1,2,3,1,1,3,1,25,0.0003268508,722,9737
"ESS11e01",11,"1.0","20.06.2024",57597,"NL",1.0222778,0.8899064,1,3,8,8,4,3,2,24,0.00033044006,731,9257
"ESS11e01",11,"1.0","20.06.2024",57616,"NL",1.0053298,0.8899064,1,3,2,8,8,4,1,77,0.00033601062,726,9583
"ESS11e01",11,"1.0","20.06.2024",57657,"NL",1.0007535,0.8899064,1,2,3,9,4,5,1,42,0.0003375472,713,8626
"ESS11e01",11,"1.0","20.06.2024",57669,"NL",0.9461035,0.8899064,1,2,2,0,0,4,1,60,0.00035704498,723,8936
"ESS11e01",11,"1.0","20.06.2024",57735,"NL",1.0134096,0.8899064,1,2,2,8,7,3,1,33,0.00033333167,756,9787
"ESS11e01",11,"1.0","20.06.2024",57739,"NL",0.9857699,0.8899064,2,2,3,9,8,5,2,58,0.00034267787,748,9228
"ESS11e01",11,"1.0","20.06.2024",57816,"NL",1.0053298,0.8899064,2,2,3,9,7,4,1,77,0.00033601062,726,9516
"ESS11e01",11,"1.0","20.06.2024",57823,"NL",1.0007535,0.8899064,3,2,2,7,3,3,1,43,0.0003375472,713,8904
"ESS11e01",11,"1.0","20.06.2024",57834,"NL",0.98657596,0.8899064,2,2,1,3,3,3,1,45,0.00034239786,712,8445
"ESS11e01",11,"1.0","20.06.2024",57870,"NL",1.0127593,0.8899064,1,1,2,9,1,2,2,70,0.0003335457,752,8097
"ESS11e01",11,"1.0","20.06.2024",57913,"NL",0.99584943,0.8899064,1,3,2,9,8,1,2,54,0.00033920942,743,9042
"ESS11e01",11,"1.0","20.06.2024",57944,"NL",0.9895682,0.8899064,1,2,3,10,7,3,1,62,0.00034136255,721,9742
"ESS11e01",11,"1.0","20.06.2024",57946,"NL",1.0127593,0.8899064,1,1,3,10,1,3,2,70,0.0003335457,752,8949
"ESS11e01",11,"1.0","20.06.2024",57981,"NL",1.0053298,0.8899064,4,2,3,10,4,2,1,84,0.00033601062,726,9383
"ESS11e01",11,"1.0","20.06.2024",57998,"NL",0.99584943,0.8899064,1,3,1,4,4,3,2,55,0.00033920942,743,8154
"ESS11e01",11,"1.0","20.06.2024",58004,"NL",1.0318297,0.8899064,1,4,2,8,6,3,2,42,0.00032738107,739,8753
"ESS11e01",11,"1.0","20.06.2024",58028,"NL",0.9857699,0.8899064,1,1,1,9,7,3,2,56,0.00034267787,748,9204
"ESS11e01",11,"1.0","20.06.2024",58030,"NL",1.0419323,0.8899064,1,2,2,7,6,4,2,35,0.00032420678,735,9357
"ESS11e01",11,"1.0","20.06.2024",58040,"NL",1.0259477,0.8899064,1,1,1,3,2,2,1,19,0.00032925804,711,9152
"ESS11e01",11,"1.0","20.06.2024",58042,"NL",1.0053298,0.8899064,1,3,1,6,6,3,1,75,0.00033601062,726,9034
"ESS11e01",11,"1.0","20.06.2024",58061,"NL",1.0238738,0.8899064,1,4,2,8,5,4,2,67,0.00032992495,751,8653
"ESS11e01",11,"1.0","20.06.2024",58115,"NL",1.0335038,0.8899064,1,2,2,4,5,2,1,21,0.0003268508,722,8884
"ESS11e01",11,"1.0","20.06.2024",58122,"NL",0.9874631,0.8899064,1,3,3,8,6,3,2,49,0.00034209026,741,9494
"ESS11e01",11,"1.0","20.06.2024",58124,"NL",1.0053298,0.8899064,1,2,2,9,7,3,1,75,0.00033601062,726,9501
"ESS11e01",11,"1.0","20.06.2024",58133,"NL",1.0419323,0.8899064,1,2,2,3,3,4,2,31,0.00032420678,735,8967
"ESS11e01",11,"1.0","20.06.2024",58182,"NL",0.9672266,0.8899064,1,3,2,7,7,4,2,42,0.00034924754,738,9712
"ESS11e01",11,"1.0","20.06.2024",58197,"NL",1.0007535,0.8899064,1,3,2,9,8,4,1,40,0.0003375472,713,8309
"ESS11e01",11,"1.0","20.06.2024",58201,"NL",1.0142426,0.8899064,1,2,3,8,8,3,1,74,0.0003330579,727,9223
"ESS11e01",11,"1.0","20.06.2024",58230,"NL",0.99124104,0.8899064,2,2,2,7,6,3,1,61,0.00034078644,720,8890
"ESS11e01",11,"1.0","20.06.2024",58243,"NL",1.0127593,0.8899064,1,2,2,4,2,4,2,65,0.0003335457,752,8987
"ESS11e01",11,"1.0","20.06.2024",58259,"NL",1.0134096,0.8899064,1,1,3,5,5,4,1,32,0.00033333167,756,8594
"ESS11e01",11,"1.0","20.06.2024",58261,"NL",0.926864,0.8899064,1,2,3,6,4,3,2,57,0.00036445638,747,8622
"ESS11e01",11,"1.0","20.06.2024",58322,"NL",1.0419323,0.8899064,1,2,4,3,1,4,2,32,0.00032420678,735,8901
